ID,SF or Cat no,Ctxt ID,Object category,Condition,Obj Type,Firm ID?,Description,Quantity,Height cm,Width cm,Length cm,Depth cm,Diameter cm,Rim dia cm,Base dia cm,Material,Technique,Appearance,Stylistic date,Figure no,Obj Illustration,Out of copyright,Notes,VS parallels
2628,PisaPDM7016m,PisaPDM7016,,fragmentary,Amphora-LR4,Y,wall,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500; 500-550; 550-600; 600-650; 650-700,,0,FALSE,,
3394,PisaPDM8405b,PisaPDM8405,,fragmentary,Amphora-LR4,Y,wall,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500; 500-550; 550-600; 600-650; 650-700,,0,FALSE,,
2562,PisaPDM7010a,PisaPDM7010,,fragmentary,Amphora-LR4A2/B1,Y,rim,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500; 500-550,,0,FALSE,,
3429,PisaPDM8417c,PisaPDM8417,,fragmentary,Amphora-LR4B2,Y,wall,1,,,,,,,,Pottery/ceramic,,,500-550; 550-600; 600-650; 650-700,,0,FALSE,,
3313,PisaPDM8400e,PisaPDM8400,,fragmentary,Amphora-LR4B2/B3,Y,rim,1,,,,,,,,Pottery/ceramic,,,500-550; 550-600; 600-650; 650-700,,0,FALSE,,
3061,PisaPDM7122a,PisaPDM7122,,fragmentary,Amphora-ManaC2,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2619,PisaPDM7016e,PisaPDM7016,,fragmentary,Amphora-Miseno,N,rim,1,,,,,,,,Pottery/ceramic,,,600-650; 650-700; 700-750; 750-800,,0,FALSE,,
2898,PisaPDM7086c,PisaPDM7086,,fragmentary,Amphora-Richborough527,Y,rim,1,,,,,,,,Pottery/ceramic,,,250-300; before 250,,0,FALSE,,
2731,PisaPDM7030d,PisaPDM7030,,fragmentary,Amphora-Spatheion,Y,rim,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500,,0,FALSE,,
2852,PisaPDM7065d,PisaPDM7065,,fragmentary,Amphora-Spatheion,Y,rim,1,,,,,,,,Pottery/ceramic,,,400-450; 450-500,,0,FALSE,,
3111,PisaPDM8224b,PisaPDM8224,,fragmentary,Amphora-Spello,Y,rim,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3112,PisaPDM8224c,PisaPDM8224,,fragmentary,Amphora-Spello,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
3216,PisaPDM8339d,PisaPDM8339,,fragmentary,Amphora-Spello,Y,handle,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2664,PisaPDM7016av,PisaPDM7016,,fragmentary,Basin-Gen,Y,rim - coarseware,1,,,,,,31,,Pottery/ceramic,,clay light red; clay light yellow,before 250,,0,FALSE,,
2665,PisaPDM7016aw,PisaPDM7016,,fragmentary,Basin-Gen,Y,rim - coarseware,1,,,,,,39,,Pottery/ceramic,,clay light brown,250-300; 300-350; 350-400; before 250,,0,FALSE,,
2666,PisaPDM7016ax,PisaPDM7016,,fragmentary,Basin-Gen,Y,rim - coarseware,1,,,,,,36,,Pottery/ceramic,,clay light red; clay light yellow,before 250,,0,FALSE,,
2667,PisaPDM7016ay,PisaPDM7016,,fragmentary,Basin-Gen,Y,rim - coarseware,1,,,,,,38,,Pottery/ceramic,,clay pink,250-300; before 250,,0,FALSE,,
2771,PisaPDM7038e,PisaPDM7038,,fragmentary,Basin-Gen,Y,rim,1,,,,,,26,,Pottery/ceramic,,clay red; clay yellow,before 250,,0,FALSE,,
2822,PisaPDM7050d,PisaPDM7050,,fragmentary,Basin-Gen,Y,rim,1,,,,,,26,,Pottery/ceramic,,clay red; clay yellow,before 250,,0,FALSE,,
3157,PisaPDM8307am,PisaPDM8307,,fragmentary,Basin-Gen,Y,rim,1,,,,,,35,,Pottery/ceramic,,clay red; clay yellow,250-300; before 250,,0,FALSE,,
3261,PisaPDM8396y,PisaPDM8396,,fragmentary,Basin-Gen,Y,rim,1,,,,,,46,,Pottery/ceramic,,clay red; clay yellow,250-300; 300-350; 350-400; before 250,,0,FALSE,,
3324,PisaPDM8400p,PisaPDM8400,,fragmentary,Basin-Gen,Y,rim,1,,,,,,26,,Pottery/ceramic,,clay light red,uncertain,,0,FALSE,"date given as ""late antiquity""",
3404,PisaPDM8405l,PisaPDM8405,,fragmentary,Basin-Gen,Y,rim - undulating line iincised w round point,1,,,,,,30,,Pottery/ceramic,,clay red; clay yellow,300-350; 350-400; 400-450,,0,FALSE,,
3014,PisaPDM7095l,PisaPDM7095,,fragmentary,Basin-PisaGroup14c,Y,rim; undulating line under lip; traces of colour (reddish),1,,,,,,23,,Pottery/ceramic,,clay red; clay yellow; slip red,300-350; 350-400; 400-450; 450-500,,0,FALSE,,
3259,PisaPDM8396w,PisaPDM8396,,fragmentary,Basin-PisaGroup1b,Y,rim - ext pale brown; int reddish-yellow,1,,,,,,36,,Pottery/ceramic,,clay light brown; clay red; clay yellow,350-400; 400-450; before 250,,0,FALSE,,
2661,PisaPDM7016as,PisaPDM7016,,fragmentary,Basin-PisaGroup1c,Y,rim,1,,,,,,45,,Pottery/ceramic,,clay red; clay yellow,250-300; 300-350; 350-400; before 250,,0,FALSE,,
2662,PisaPDM7016at,PisaPDM7016,,fragmentary,Basin-PisaGroup1c,Y,rim,1,,,,,,46,,Pottery/ceramic,,clay red; clay yellow,250-300; 300-350; 350-400; before 250,,0,FALSE,,
2789,PisaPDM7040d,PisaPDM7040,,fragmentary,Basin-PisaGroup1c,Y,rim,1,,,,,,30,,Pottery/ceramic,,clay light brown,250-300; 300-350; 350-400; before 250,,0,FALSE,,
2946,PisaPDM7090k,PisaPDM7090,,fragmentary,Basin-PisaGroup1c,Y,rim,1,,,,,,35,,Pottery/ceramic,,clay light brown,250-300; 300-350; 350-400; before 250,,0,FALSE,,
2856,PisaPDM7065h,PisaPDM7065,,fragmentary,Basin-PisaGroup5a,Y,rim; grooves on exterior - slip beige/yellow,1,,,,,,32,,Pottery/ceramic,,incised decoration,before 250,,0,FALSE,,
2782,PisaPDM7038p,PisaPDM7038,,fragmentary,Bead,Y,,1,,,,,,,,Glass,,,500-550; 550-600; 600-650; 650-700,,0,FALSE,,
3273,PisaPDM8396ak,PisaPDM8396,,intact,Bead,Y,,1,,,,,,,,Glass,,,500-550; 550-600; 600-650; 650-700,,0,FALSE,,
2573,PisaPDM7011e,PisaPDM7011,,fragmentary,Beaker,Y,wall,1,,,,,,,,Pottery/ceramic,,,before 250,,0,FALSE,,
2765,PisaPDM7037e,PisaPDM7037,,fragmentary,Beaker,Y,rim,1,,,,,,5.4,,Glass,,,300-350; 350-400,,0,FALSE,,
2903,PisaPDM7086h,PisaPDM7086,,fragmentary,Beaker,Y,rim,1,,,,,,5.6,,Glass,,,400-450; 450-500; 500-550; 550-600; 600-650; 650-700,,0,FALSE,,
2904,PisaPDM7086i,PisaPDM7086,,fragmentary,Beaker,Y,rim,1,,,,,,5.8,,Glass,,,400-450; 450-500; 500-550; 550-600; 600-650; 650-700,,0,FALSE,,
